Date,Oxygen
14-Nov-2011 11:52:30,NaN
14-Nov-2011 12:35:01,230.3176323
14-Nov-2011 13:20:01,245.7166638
14-Nov-2011 16:42:30,291.9196742
14-Nov-2011 17:25:00,280.9822155
14-Nov-2011 18:10:00,243.5450013
14-Nov-2011 18:55:00,201.2688211
14-Nov-2011 19:40:00,150.3500948
14-Nov-2011 20:25:00,131.5231836
14-Nov-2011 21:10:00,124.3871377
14-Nov-2011 21:55:00,137.2209757
14-Nov-2011 22:40:01,135.9822007
14-Nov-2011 23:25:00,135.6074858
15-Nov-2011 00:10:00,131.7503704
15-Nov-2011 00:55:00,127.0343947
15-Nov-2011 01:40:00,120.4758583
15-Nov-2011 02:25:01,110.975331
15-Nov-2011 03:10:00,103.0479645
15-Nov-2011 03:55:01,97.68462447
15-Nov-2011 04:40:01,89.93389192
15-Nov-2011 05:25:00,84.81557665
15-Nov-2011 06:10:00,81.53031428
15-Nov-2011 06:23:00,83.91827407
15-Nov-2011 06:40:00,85.4972785
15-Nov-2011 06:58:01,91.18975305
15-Nov-2011 07:16:01,98.56743085
15-Nov-2011 07:34:01,107.6960966
15-Nov-2011 07:52:01,118.970715
15-Nov-2011 08:10:00,137.1380547
15-Nov-2011 08:28:01,150.4347958
15-Nov-2011 08:46:01,175.0962117
15-Nov-2011 09:04:01,204.8174896
15-Nov-2011 09:22:01,220.2079169
15-Nov-2011 09:40:00,232.1710712
15-Nov-2011 09:58:01,234.0718195
15-Nov-2011 10:16:01,235.9310934
15-Nov-2011 10:34:01,235.9206626
15-Nov-2011 10:52:01,NaN
15-Nov-2011 11:10:00,NaN
15-Nov-2011 11:22:59,NaN
15-Nov-2011 11:40:00,241.4203583
15-Nov-2011 11:58:00,244.111277
15-Nov-2011 12:16:00,247.2074205
15-Nov-2011 12:34:00,255.0421736
15-Nov-2011 12:52:00,256.5340804
15-Nov-2011 13:10:00,261.7327346
15-Nov-2011 13:28:00,265.6256008
15-Nov-2011 13:46:00,269.8485631
15-Nov-2011 14:04:00,275.01012
15-Nov-2011 14:22:00,275.8697276
15-Nov-2011 14:40:00,278.5868949
15-Nov-2011 14:58:00,283.3004658
15-Nov-2011 15:16:00,287.9887464
15-Nov-2011 15:34:00,295.1821283
15-Nov-2011 15:52:00,300.2633444
15-Nov-2011 16:10:00,303.2813306
15-Nov-2011 16:28:00,306.0233677
15-Nov-2011 16:46:00,308.1883301
15-Nov-2011 17:04:00,307.9113457
15-Nov-2011 17:22:00,304.0690876
15-Nov-2011 18:01:00,278.0001985
15-Nov-2011 18:17:00,273.6601574
15-Nov-2011 18:33:00,260.4783493
15-Nov-2011 18:49:01,233.3924215
15-Nov-2011 19:05:01,216.0310944
15-Nov-2011 19:21:01,195.0720934
