date,Mauna Loa CO2,HOT pCO2,BATS pCO2,ESTOC pCO2,HOT pH,BATS pH,ESTOC pH
1/15/1982,340.67,,,,,,
2/15/1982,341.62,,,,,,
3/15/1982,343.22,,,,,,
4/15/1982,344.05,,,,,,
5/15/1982,343.62,,,,,,
6/15/1982,342.58,,,,,,
7/15/1982,342.24,,,,,,
8/15/1982,339,,,,,,
9/15/1982,337.64,,,,,,
10/15/1982,337.88,,,,,,
11/15/1982,339.07,,,,,,
12/15/1982,340.31,,,,,,
1/15/1983,341.81,,,,,,
2/15/1983,342.4,,,,,,
3/15/1983,342.69,,,,,,
4/15/1983,345.39,,,,,,
5/15/1983,345.96,,,,,,
6/15/1983,345.32,,,,,,
7/15/1983,343.14,,,,,,
8/15/1983,341.5,,,,,,
9/15/1983,339.83,,,,,,
10/15/1983,340.05,,,,,,
11/15/1983,340.89,,,,,,
12/15/1983,343.15,,,,,,
1/15/1984,343.98,,,,,,
2/15/1984,344.68,,,,,,
3/15/1984,345.51,,,,,,
4/15/1984,347.33,,,,,,
5/15/1984,347.39,,,,,,
6/15/1984,346.92,,,,,,
7/15/1984,345.15,,,,,,
8/15/1984,342.78,,,,,,
9/15/1984,340.83,,,,,,
10/15/1984,341.66,,,,,,
11/15/1984,343.07,,,,,,
12/15/1984,343.96,,,,,,
1/15/1985,344.74,,,,,,
2/15/1985,345.78,,,,,,
3/15/1985,347.45,,,,,,
4/15/1985,348.01,,,,,,
5/15/1985,348.96,,,,,,
6/15/1985,348.36,,,,,,
7/15/1985,346.61,,,,,,
8/15/1985,343.93,,,,,,
9/15/1985,342.89,,,,,,
10/15/1985,342.97,,,,,,
11/15/1985,344.12,,,,,,
12/15/1985,345.17,,,,,,
1/15/1986,346.21,,,,,,
2/15/1986,347.01,,,,,,
3/15/1986,348.09,,,,,,
4/15/1986,349.58,,,,,,
5/15/1986,350.29,,,,,,
6/15/1986,349.47,,,,,,
7/15/1986,347.85,,,,,,
8/15/1986,345.52,,,,,,
9/15/1986,344.51,,,,,,
10/15/1986,344.21,,,,,,
11/15/1986,345.57,,,,,,
12/15/1986,346.68,,,,,,
1/15/1987,347.68,,,,,,
2/15/1987,348.68,,,,,,
3/15/1987,349.62,,,,,,
4/15/1987,351.11,,,,,,
5/15/1987,351.79,,,,,,
6/15/1987,351.64,,,,,,
7/15/1987,350.07,,,,,,
8/15/1987,347.4,,,,,,
9/15/1987,346.73,,,,,,
10/15/1987,346.72,,,,,,
11/15/1987,348.29,,,,,,
12/15/1987,349.41,,,,,,
1/15/1988,350.35,,,,,,
2/15/1988,351.77,,,,,,
3/15/1988,352.52,,,,,,
4/15/1988,354.05,,,,,,
5/15/1988,354.39,,,,,,
6/15/1988,353.79,,,,,,
7/15/1988,352.46,,,,,,
8/15/1988,350.42,,,,,,
9/15/1988,348.89,,,,,,
10/15/1988,348.98,,,,,,
10/31/1988,,330.9,,,8.1097,,
11/15/1988,349.8,,,,,,
12/2/1988,,330.6,,,8.1092,,
12/15/1988,351.39,,,,,,
1/8/1989,,324.3,,,8.1168,,
1/15/1989,352.48,,,,,,
2/15/1989,353.19,,,,,,
2/26/1989,,310.9,,,8.1316,,
3/15/1989,353.63,,,,,,
3/27/1989,,317.7,,,8.1218,,
4/15/1989,355.63,,,,,,
5/15/1989,355.9,,,,,,
5/18/1989,,326.2,,,8.1158,,
6/15/1989,355.64,,,,,,
6/24/1989,,334.3,,,8.1018,,
7/15/1989,354.07,,,,,,
7/29/1989,,340.4,,,8.0991,,
